"X","left","top","right","bottom","grid_id","xcoord","ycoord","temp","dist_to_estuary","closest_estuary"
1,-70.86,42.5,-70.74,42.4,13,-70.79833,42.48115,6.23499986063689,10.9930540449932,"MASSACHUSETTS BAY"
2,-70.86,42.5,-70.74,42.4,13,-70.79833,42.48115,4.77499989327043,10.9930540449932,"MASSACHUSETTS BAY"
3,-70.86,42.4,-70.74,42.3,14,-70.79833,42.38115,5.12999988533556,1.99293501110532,"MASSACHUSETTS BAY"
4,-70.86,42.4,-70.74,42.3,14,-70.79833,42.38115,4.65999989584088,1.99293501110532,"MASSACHUSETTS BAY"
5,-70.86,42.3,-70.74,42.2,15,-70.79833,42.28115,4.20999990589917,11.616234993655,"MASSACHUSETTS BAY"
6,-70.86,42.3,-70.74,42.2,15,-70.79833,42.28115,4.01499991025776,11.616234993655,"MASSACHUSETTS BAY"
7,-70.77,43,-70.65,42.9,28,-70.71173,42.93115,NA,12.7821560194417,"GREAT BAY"
8,-70.77,42.9,-70.65,42.8,29,-70.71173,42.83115,NA,6.91665118825075,"MERRIMACK RIVER"
9,-70.77,42.8,-70.65,42.7,30,-70.71173,42.73115,NA,5.95939452483173,"MERRIMACK RIVER"
10,-70.77,42.6,-70.65,42.5,32,-70.71173,42.53115,NA,18.728785632121,"MASSACHUSETTS BAY"
11,-70.77,42.5,-70.65,42.4,33,-70.71173,42.43115,NA,10.4927227193089,"MASSACHUSETTS BAY"
12,-70.77,42.4,-70.65,42.3,34,-70.71173,42.33115,NA,10.8290101922685,"MASSACHUSETTS BAY"
13,-70.77,42.3,-70.65,42.2,35,-70.71173,42.23115,NA,19.2945097448424,"MASSACHUSETTS BAY"
14,-70.68,43.1,-70.57,43,47,-70.62513,43.08115,NA,6.00634924109402,"GREAT BAY"
15,-70.68,43.1,-70.57,43,47,-70.62513,43.08115,NA,6.00634924109402,"GREAT BAY"
16,-70.68,43,-70.57,42.9,48,-70.62513,42.98115,6.39499985706061,8.1283421681901,"GREAT BAY"
17,-70.68,43,-70.57,42.9,48,-70.62513,42.98115,4.18499990645796,8.1283421681901,"GREAT BAY"
18,-70.68,42.9,-70.57,42.8,49,-70.62513,42.88115,6.7199998497963,15.5714625420268,"MERRIMACK RIVER"
19,-70.68,42.9,-70.57,42.8,49,-70.62513,42.88115,4.54999989829957,15.5714625420268,"MERRIMACK RIVER"
20,-70.68,42.8,-70.57,42.7,50,-70.62513,42.78115,6.61499985214323,10.3140252184473,"MERRIMACK RIVER"
21,-70.68,42.8,-70.57,42.7,50,-70.62513,42.78115,4.35999990254641,10.3140252184473,"MERRIMACK RIVER"
22,-70.68,42.6,-70.57,42.5,52,-70.62513,42.58115,NA,24.0357557146602,"MERRIMACK RIVER"
23,-70.68,42.6,-70.57,42.5,52,-70.62513,42.58115,5.63499987404794,24.0357557146602,"MERRIMACK RIVER"
24,-70.68,42.5,-70.57,42.4,53,-70.62513,42.48115,6.85999984666705,19.4758716164275,"MASSACHUSETTS BAY"
25,-70.68,42.5,-70.57,42.4,53,-70.62513,42.48115,5.09499988611788,19.4758716164275,"MASSACHUSETTS BAY"
26,-70.68,42.4,-70.57,42.3,54,-70.62513,42.38115,6.63499985169619,16.2125474896646,"MASSACHUSETTS BAY"
27,-70.68,42.4,-70.57,42.3,54,-70.62513,42.38115,5.12999988533556,16.2125474896646,"MASSACHUSETTS BAY"
28,-70.68,42.3,-70.57,42.2,55,-70.62513,42.28115,6.15999986231327,19.8550714942586,"MASSACHUSETTS BAY"
29,-70.68,42.3,-70.57,42.2,55,-70.62513,42.28115,4.92999988980591,19.8550714942586,"MASSACHUSETTS BAY"
30,-70.68,42.2,-70.57,42.1,56,-70.62513,42.18115,4.75999989360571,27.8108086727321,"MASSACHUSETTS BAY"
31,-70.68,42.2,-70.57,42.1,56,-70.62513,42.18115,4.16999990679324,27.8108086727321,"MASSACHUSETTS BAY"
32,-70.68,42.1,-70.57,42,57,-70.62513,42.08115,4.61499989684671,35.8965114228801,"BOSTON HARBOR"
33,-70.68,42.1,-70.57,42,57,-70.62513,42.08115,3.90499991271645,35.8965114228801,"BOSTON HARBOR"
34,-70.6,43.3,-70.48,43.2,65,-70.53852,43.23115,5.04499988723546,4.2812220155555,"WELLS HARBOR"
35,-70.6,43.3,-70.48,43.2,65,-70.53852,43.23115,4.26999990455806,4.2812220155555,"WELLS HARBOR"
36,-70.6,43.2,-70.48,43.1,66,-70.53852,43.13115,5.16999988444149,14.9586819823131,"GREAT BAY"
37,-70.6,43.2,-70.48,43.1,66,-70.53852,43.13115,4.36499990243465,14.9586819823131,"GREAT BAY"
38,-70.6,43.1,-70.48,43,67,-70.53852,43.03115,5.15499988477677,11.402404708292,"GREAT BAY"
39,-70.6,43.1,-70.48,43,67,-70.53852,43.03115,3.9349999120459,11.402404708292,"GREAT BAY"
40,-70.6,43,-70.48,42.9,68,-70.53852,42.93115,6.49499985482544,16.8554982104571,"GREAT BAY"
41,-70.6,43,-70.48,42.9,68,-70.53852,42.93115,4.47499989997596,16.8554982104571,"GREAT BAY"
42,-70.6,42.9,-70.48,42.8,69,-70.53852,42.83115,6.94499984476715,18.4154940579064,"MERRIMACK RIVER"
43,-70.6,42.9,-70.48,42.8,69,-70.53852,42.83115,5.0249998876825,18.4154940579064,"MERRIMACK RIVER"
44,-70.6,42.8,-70.48,42.7,70,-70.53852,42.73115,7.02499984297901,18.0907594501179,"MERRIMACK RIVER"
45,-70.6,42.8,-70.48,42.7,70,-70.53852,42.73115,5.1099998857826,18.0907594501179,"MERRIMACK RIVER"
46,-70.6,42.7,-70.48,42.6,71,-70.53852,42.63115,6.86499984655529,23.7331140182377,"MERRIMACK RIVER"
47,-70.6,42.7,-70.48,42.6,71,-70.53852,42.63115,4.70499989483505,23.7331140182377,"MERRIMACK RIVER"
48,-70.6,42.6,-70.48,42.5,72,-70.53852,42.53115,6.35999985784292,28.4851562882787,"MASSACHUSETTS BAY"
49,-70.6,42.6,-70.48,42.5,72,-70.53852,42.53115,4.4799998998642,28.4851562882787,"MASSACHUSETTS BAY"
50,-70.6,42.5,-70.48,42.4,73,-70.53852,42.43115,6.82499984744936,23.9054448192855,"MASSACHUSETTS BAY"
51,-70.6,42.5,-70.48,42.4,73,-70.53852,42.43115,5.15999988466501,23.9054448192855,"MASSACHUSETTS BAY"
52,-70.6,42.4,-70.48,42.3,74,-70.53852,42.33115,6.78999984823167,24.0702291319862,"MASSACHUSETTS BAY"
