left,top,right,bottom,grid_id,xcoord,ycoord
-70.85607,43.73115,-70.74060,43.63115,1,0.00000,
-70.85607,43.63115,-70.74060,43.53115,2,0.00000,
-70.85607,43.53115,-70.74060,43.43115,3,0.00000,
-70.85607,43.43115,-70.74060,43.33115,4,0.00000,
-70.85607,43.33115,-70.74060,43.23115,5,0.00000,
-70.85607,43.23115,-70.74060,43.13115,6,0.00000,
-70.85607,43.13115,-70.74060,43.03115,7,0.00000,
-70.85607,43.03115,-70.74060,42.93115,8,0.00000,
-70.85607,42.93115,-70.74060,42.83115,9,0.00000,
-70.85607,42.83115,-70.74060,42.73115,10,0.00000,
-70.85607,42.73115,-70.74060,42.63115,11,0.00000,
-70.85607,42.63115,-70.74060,42.53115,12,0.00000,
-70.85607,42.53115,-70.74060,42.43115,13,-70.79833,42.48115
-70.85607,42.43115,-70.74060,42.33115,14,-70.79833,42.38115
-70.85607,42.33115,-70.74060,42.23115,15,-70.79833,42.28115
-70.85607,42.23115,-70.74060,42.13115,16,0.00000,
-70.85607,42.13115,-70.74060,42.03115,17,0.00000,
-70.85607,42.03115,-70.74060,41.93115,18,0.00000,
-70.85607,41.93115,-70.74060,41.83115,19,0.00000,
-70.85607,41.83115,-70.74060,41.73115,20,0.00000,
-70.76946,43.68115,-70.65399,43.58115,21,0.00000,
-70.76946,43.58115,-70.65399,43.48115,22,0.00000,
-70.76946,43.48115,-70.65399,43.38115,23,0.00000,
-70.76946,43.38115,-70.65399,43.28115,24,0.00000,
-70.76946,43.28115,-70.65399,43.18115,25,0.00000,
-70.76946,43.18115,-70.65399,43.08115,26,0.00000,
-70.76946,43.08115,-70.65399,42.98115,27,0.00000,
-70.76946,42.98115,-70.65399,42.88115,28,-70.71173,42.93115
-70.76946,42.88115,-70.65399,42.78115,29,-70.71173,42.83115
-70.76946,42.78115,-70.65399,42.68115,30,-70.71173,42.73115
-70.76946,42.68115,-70.65399,42.58115,31,0.00000,
-70.76946,42.58115,-70.65399,42.48115,32,-70.71173,42.53115
-70.76946,42.48115,-70.65399,42.38115,33,-70.71173,42.43115
-70.76946,42.38115,-70.65399,42.28115,34,-70.71173,42.33115
-70.76946,42.28115,-70.65399,42.18115,35,-70.71173,42.23115
-70.76946,42.18115,-70.65399,42.08115,36,0.00000,
-70.76946,42.08115,-70.65399,41.98115,37,0.00000,
-70.76946,41.98115,-70.65399,41.88115,38,0.00000,
-70.76946,41.88115,-70.65399,41.78115,39,0.00000,
-70.76946,41.78115,-70.65399,41.68115,40,0.00000,
-70.68286,43.73115,-70.56739,43.63115,41,0.00000,
-70.68286,43.63115,-70.56739,43.53115,42,0.00000,
-70.68286,43.53115,-70.56739,43.43115,43,0.00000,
-70.68286,43.43115,-70.56739,43.33115,44,0.00000,
-70.68286,43.33115,-70.56739,43.23115,45,0.00000,
-70.68286,43.23115,-70.56739,43.13115,46,0.00000,
-70.68286,43.13115,-70.56739,43.03115,47,-70.62513,43.08115
-70.68286,43.03115,-70.56739,42.93115,48,-70.62513,42.98115
-70.68286,42.93115,-70.56739,42.83115,49,-70.62513,42.88115
-70.68286,42.83115,-70.56739,42.73115,50,-70.62513,42.78115
-70.68286,42.73115,-70.56739,42.63115,51,0.00000,
-70.68286,42.63115,-70.56739,42.53115,52,-70.62513,42.58115
-70.68286,42.53115,-70.56739,42.43115,53,-70.62513,42.48115
-70.68286,42.43115,-70.56739,42.33115,54,-70.62513,42.38115
-70.68286,42.33115,-70.56739,42.23115,55,-70.62513,42.28115
-70.68286,42.23115,-70.56739,42.13115,56,-70.62513,42.18115
-70.68286,42.13115,-70.56739,42.03115,57,-70.62513,42.08115
-70.68286,42.03115,-70.56739,41.93115,58,0.00000,
-70.68286,41.93115,-70.56739,41.83115,59,0.00000,
-70.68286,41.83115,-70.56739,41.73115,60,0.00000,
-70.59626,43.68115,-70.48079,43.58115,61,0.00000,
-70.59626,43.58115,-70.48079,43.48115,62,0.00000,
-70.59626,43.48115,-70.48079,43.38115,63,0.00000,
-70.59626,43.38115,-70.48079,43.28115,64,0.00000,
-70.59626,43.28115,-70.48079,43.18115,65,-70.53852,43.23115
-70.59626,43.18115,-70.48079,43.08115,66,-70.53852,43.13115
-70.59626,43.08115,-70.48079,42.98115,67,-70.53852,43.03115
-70.59626,42.98115,-70.48079,42.88115,68,-70.53852,42.93115
-70.59626,42.88115,-70.48079,42.78115,69,-70.53852,42.83115
-70.59626,42.78115,-70.48079,42.68115,70,-70.53852,42.73115
-70.59626,42.68115,-70.48079,42.58115,71,-70.53852,42.63115
-70.59626,42.58115,-70.48079,42.48115,72,-70.53852,42.53115
-70.59626,42.48115,-70.48079,42.38115,73,-70.53852,42.43115
-70.59626,42.38115,-70.48079,42.28115,74,-70.53852,42.33115
-70.59626,42.28115,-70.48079,42.18115,75,-70.53852,42.23115
-70.59626,42.18115,-70.48079,42.08115,76,-70.53852,42.13115
-70.59626,42.08115,-70.48079,41.98115,77,-70.53852,42.03115
-70.59626,41.98115,-70.48079,41.88115,78,-70.53852,41.93115
-70.59626,41.88115,-70.48079,41.78115,79,0.00000,
-70.59626,41.78115,-70.48079,41.68115,80,0.00000,
-70.50966,43.73115,-70.39419,43.63115,81,0.00000,
-70.50966,43.63115,-70.39419,43.53115,82,0.00000,
-70.50966,43.53115,-70.39419,43.43115,83,0.00000,
-70.50966,43.43115,-70.39419,43.33115,84,0.00000,
-70.50966,43.33115,-70.39419,43.23115,85,-70.45192,43.28115
-70.50966,43.23115,-70.39419,43.13115,86,-70.45192,43.18115
-70.50966,43.13115,-70.39419,43.03115,87,-70.45192,43.08115
-70.50966,43.03115,-70.39419,42.93115,88,-70.45192,42.98115
-70.50966,42.93115,-70.39419,42.83115,89,-70.45192,42.88115
-70.50966,42.83115,-70.39419,42.73115,90,-70.45192,42.78115
-70.50966,42.73115,-70.39419,42.63115,91,-70.45192,42.68115
-70.50966,42.63115,-70.39419,42.53115,92,-70.45192,42.58115
-70.50966,42.53115,-70.39419,42.43115,93,-70.45192,42.48115
-70.50966,42.43115,-70.39419,42.33115,94,-70.45192,42.38115
-70.50966,42.33115,-70.39419,42.23115,95,-70.45192,42.28115
-70.50966,42.23115,-70.39419,42.13115,96,-70.45192,42.18115
