"CRUISE_ID.x","OPERATION_ID.x","ORGANISM_ID","SPECIES","SPECIES_GROUP_ID.x","cruise_op","length","maturity","sex","OPERATION_ID.y","OPERATION_STATUS","CRUISE_ID.y","SITE_NAME","START_TIME","START_LAT","START_LON","END_TIME","END_LAT","END_LON","END_LONdec","START_LONdec","START_LATdec","END_LATdec","date","TOW_WT","CRUISE_ID","OPERATION_ID","SPECIES_GROUP_ID.y","SPECIES_GROUP_NAME","year_file","spawning"
"201680",3,"116","Gadus morhua (Atlantic cod)","7,999","201680_3",96,"Immature","F",3,"Representative","201680","Aug-32","4/18/16 11:11","4212.849N","07019.059W","4/18/16 11:41","4214.227N","07018.776W",-70.31293333,-70.31765,42.21415,42.23711667,"4/18/16",2.2,"201680",3,"7,999","Gadus morhua (Atlantic cod)","1/2",FALSE
"201680",3,"117","Gadus morhua (Atlantic cod)","7,999","201680_3",87,"Immature","M",3,"Representative","201680","Aug-32","4/18/16 11:11","4212.849N","07019.059W","4/18/16 11:41","4214.227N","07018.776W",-70.31293333,-70.31765,42.21415,42.23711667,"4/18/16",2.2,"201680",3,"7,999","Gadus morhua (Atlantic cod)","1/2",FALSE
"201680",3,"120","Gadus morhua (Atlantic cod)","7,999","201680_3",117,"Immature","F",3,"Representative","201680","Aug-32","4/18/16 11:11","4212.849N","07019.059W","4/18/16 11:41","4214.227N","07018.776W",-70.31293333,-70.31765,42.21415,42.23711667,"4/18/16",2.2,"201680",3,"7,999","Gadus morhua (Atlantic cod)","1/2",FALSE
"201680",3,"121","Gadus morhua (Atlantic cod)","7,999","201680_3",21,"Immature","F",3,"Representative","201680","Aug-32","4/18/16 11:11","4212.849N","07019.059W","4/18/16 11:41","4214.227N","07018.776W",-70.31293333,-70.31765,42.21415,42.23711667,"4/18/16",2.2,"201680",3,"7,999","Gadus morhua (Atlantic cod)","1/2",FALSE
"201680",3,"118","Gadus morhua (Atlantic cod)","7,999","201680_3",67,NA,NA,3,"Representative","201680","Aug-32","4/18/16 11:11","4212.849N","07019.059W","4/18/16 11:41","4214.227N","07018.776W",-70.31293333,-70.31765,42.21415,42.23711667,"4/18/16",2.2,"201680",3,"7,999","Gadus morhua (Atlantic cod)","1/2",FALSE
"201680",3,"119","Gadus morhua (Atlantic cod)","7,999","201680_3",67,NA,NA,3,"Representative","201680","Aug-32","4/18/16 11:11","4212.849N","07019.059W","4/18/16 11:41","4214.227N","07018.776W",-70.31293333,-70.31765,42.21415,42.23711667,"4/18/16",2.2,"201680",3,"7,999","Gadus morhua (Atlantic cod)","1/2",FALSE
"201680",4,"221","Gadus morhua (Atlantic cod)","7,999","201680_4",181,"Developing","M",4,"Representative","201680","Aug-34","4/18/16 13:44","4209.141N","07003.976W","4/18/16 14:15","4207.861N","07003.031W",-70.05051667,-70.06626667,42.15235,42.13101667,"4/18/16",3.9,"201680",4,"7,999","Gadus morhua (Atlantic cod)","1/2",FALSE
"201680",4,"222","Gadus morhua (Atlantic cod)","7,999","201680_4",122,"Resting","F",4,"Representative","201680","Aug-34","4/18/16 13:44","4209.141N","07003.976W","4/18/16 14:15","4207.861N","07003.031W",-70.05051667,-70.06626667,42.15235,42.13101667,"4/18/16",3.9,"201680",4,"7,999","Gadus morhua (Atlantic cod)","1/2",FALSE
"201680",4,"223","Gadus morhua (Atlantic cod)","7,999","201680_4",224,"Resting","F",4,"Representative","201680","Aug-34","4/18/16 13:44","4209.141N","07003.976W","4/18/16 14:15","4207.861N","07003.031W",-70.05051667,-70.06626667,42.15235,42.13101667,"4/18/16",3.9,"201680",4,"7,999","Gadus morhua (Atlantic cod)","1/2",FALSE
"201680",4,"224","Gadus morhua (Atlantic cod)","7,999","201680_4",109,"Immature","F",4,"Representative","201680","Aug-34","4/18/16 13:44","4209.141N","07003.976W","4/18/16 14:15","4207.861N","07003.031W",-70.05051667,-70.06626667,42.15235,42.13101667,"4/18/16",3.9,"201680",4,"7,999","Gadus morhua (Atlantic cod)","1/2",FALSE
