,organism_id,cruise_op,length,maturity,sex,site_name,start_time,end_time,end_lon,start_lon,start_lat,end_lat,date,tow_wt,cruise_id,operation_id,year_file,spawning,tow_length,mean_lat,mean_lon
0,116,201680_3,96,Immature,F,Aug-32,2016-04-18 11:11:00,2016-04-18 11:41:00,-70.31293333,-70.31765,42.21415,42.23711667,4/18/16,2.2,201680,3,1/2,False,2.5831396969138125,42.225633335,-70.315291665
1,117,201680_3,87,Immature,M,Aug-32,2016-04-18 11:11:00,2016-04-18 11:41:00,-70.31293333,-70.31765,42.21415,42.23711667,4/18/16,2.2,201680,3,1/2,False,2.5831396969138125,42.225633335,-70.315291665
2,120,201680_3,117,Immature,F,Aug-32,2016-04-18 11:11:00,2016-04-18 11:41:00,-70.31293333,-70.31765,42.21415,42.23711667,4/18/16,2.2,201680,3,1/2,False,2.5831396969138125,42.225633335,-70.315291665
3,121,201680_3,21,Immature,F,Aug-32,2016-04-18 11:11:00,2016-04-18 11:41:00,-70.31293333,-70.31765,42.21415,42.23711667,4/18/16,2.2,201680,3,1/2,False,2.5831396969138125,42.225633335,-70.315291665
4,118,201680_3,67,,,Aug-32,2016-04-18 11:11:00,2016-04-18 11:41:00,-70.31293333,-70.31765,42.21415,42.23711667,4/18/16,2.2,201680,3,1/2,False,2.5831396969138125,42.225633335,-70.315291665
5,119,201680_3,67,,,Aug-32,2016-04-18 11:11:00,2016-04-18 11:41:00,-70.31293333,-70.31765,42.21415,42.23711667,4/18/16,2.2,201680,3,1/2,False,2.5831396969138125,42.225633335,-70.315291665
6,221,201680_4,181,Developing,M,Aug-34,2016-04-18 13:44:00,2016-04-18 14:15:00,-70.05051667,-70.06626667,42.15235,42.13101667,4/18/16,3.9,201680,4,1/2,False,2.7043392429126527,42.141683334999996,-70.05839166999999
7,222,201680_4,122,Resting,F,Aug-34,2016-04-18 13:44:00,2016-04-18 14:15:00,-70.05051667,-70.06626667,42.15235,42.13101667,4/18/16,3.9,201680,4,1/2,False,2.7043392429126527,42.141683334999996,-70.05839166999999
8,223,201680_4,224,Resting,F,Aug-34,2016-04-18 13:44:00,2016-04-18 14:15:00,-70.05051667,-70.06626667,42.15235,42.13101667,4/18/16,3.9,201680,4,1/2,False,2.7043392429126527,42.141683334999996,-70.05839166999999
9,224,201680_4,109,Immature,F,Aug-34,2016-04-18 13:44:00,2016-04-18 14:15:00,-70.05051667,-70.06626667,42.15235,42.13101667,4/18/16,3.9,201680,4,1/2,False,2.7043392429126527,42.141683334999996,-70.05839166999999
10,225,201680_4,96,,,Aug-34,2016-04-18 13:44:00,2016-04-18 14:15:00,-70.05051667,-70.06626667,42.15235,42.13101667,4/18/16,3.9,201680,4,1/2,False,2.7043392429126527,42.141683334999996,-70.05839166999999
11,336,201680_6,127,Ripe,M,Aug-35,2016-04-18 15:29:00,2016-04-18 16:00:00,-70.02181667,-70.01315,42.08325,42.10268333,4/18/16,2.73,201680,6,1/2,True,2.2761422202073005,42.092966665,-70.01748333500001
12,337,201680_6,136,Resting,F,Aug-35,2016-04-18 15:29:00,2016-04-18 16:00:00,-70.02181667,-70.01315,42.08325,42.10268333,4/18/16,2.73,201680,6,1/2,False,2.2761422202073005,42.092966665,-70.01748333500001
13,338,201680_6,87,Immature,M,Aug-35,2016-04-18 15:29:00,2016-04-18 16:00:00,-70.02181667,-70.01315,42.08325,42.10268333,4/18/16,2.73,201680,6,1/2,False,2.2761422202073005,42.092966665,-70.01748333500001
14,339,201680_6,96,Immature,F,Aug-35,2016-04-18 15:29:00,2016-04-18 16:00:00,-70.02181667,-70.01315,42.08325,42.10268333,4/18/16,2.73,201680,6,1/2,False,2.2761422202073005,42.092966665,-70.01748333500001
15,340,201680_6,51,Immature,F,Aug-35,2016-04-18 15:29:00,2016-04-18 16:00:00,-70.02181667,-70.01315,42.08325,42.10268333,4/18/16,2.73,201680,6,1/2,False,2.2761422202073005,42.092966665,-70.01748333500001
16,949,201680_13,318,Spent,F,7-78 ALT,2016-04-19 15:53:00,2016-04-19 16:23:00,-70.6187,-70.59951667,42.223,42.24261667,4/19/16,2.42,201680,13,1/2,False,2.6930285077138616,42.232808335,-70.609108335
